SessionID,Configuration Name,Observer,DeviceID,Edited,Session Start Time,Recorded Start Time,Session End Time,DateTime,Date,Time,Year,Month,Hour,Project Animals,Duration,Habitat Map,Grid Size,Image Size,Notes,Channel Type,Subject Type,Focal Name,Group Count,Frame Number,Interval Channel 1 Name,Interval Channel 1 Value,Space Use Grid X,Space Use Grid Y,Space Use Grid XY,Space Use Coordinate X,Space Use Coordinate Y,Space Use Coordinate XY,Question: Scent used and location sprayed?_36,Conditions,Cond.Locations1,Cond.Locations2
61,Red dhole scent,C3: Daniel Anthony,3511b43c-490d-4271-88ef-27f41ff19987,No,10/5/22 17:31,10/5/22 17:31,,10/5/22 17:31,10/5/22,17:31:47,2022,5,17,"Red Dhole,Red Dhole 1,Red Dhole 2,Red Dhole 3,Red Dhole 4,Red Dhole 5,Red Dhole 6",15,Default Map,"12,10",600x600,,Interval,Group,Red Dhole,4,1,Red Dhole,Locomotion,,,,,,,,,,
61,Red dhole scent,C3: Daniel Anthony,3511b43c-490d-4271-88ef-27f41ff19987,No,10/5/22 17:31,10/5/22 17:31,,10/5/22 17:31,10/5/22,17:31:47,2022,5,17,"Red Dhole,Red Dhole 1,Red Dhole 2,Red Dhole 3,Red Dhole 4,Red Dhole 5,Red Dhole 6",15,Default Map,"12,10",600x600,,Interval,Group,Red Dhole 01,,1,,,1,1,"1, 1",127,132,"127, 132",,,,
61,Red dhole scent,C3: Daniel Anthony,3511b43c-490d-4271-88ef-27f41ff19987,No,10/5/22 17:31,10/5/22 17:31,,10/5/22 17:32,10/5/22,17:32:17,2022,5,17,"Red Dhole,Red Dhole 1,Red Dhole 2,Red Dhole 3,Red Dhole 4,Red Dhole 5,Red Dhole 6",15,Default Map,"12,10",600x600,,Interval,Group,Red Dhole,2,2,Red Dhole,Resting/Vigilance,,,,,,,,,,
61,Red dhole scent,C3: Daniel Anthony,3511b43c-490d-4271-88ef-27f41ff19987,No,10/5/22 17:31,10/5/22 17:31,,10/5/22 17:32,10/5/22,17:32:17,2022,5,17,"Red Dhole,Red Dhole 1,Red Dhole 2,Red Dhole 3,Red Dhole 4,Red Dhole 5,Red Dhole 6",15,Default Map,"12,10",600x600,,Interval,Group,Red Dhole 01,,2,,,1,1,"1, 1",105,145,"105, 145",,,,
61,Red dhole scent,C3: Daniel Anthony,3511b43c-490d-4271-88ef-27f41ff19987,No,10/5/22 17:31,10/5/22 17:31,,10/5/22 17:32,10/5/22,17:32:17,2022,5,17,"Red Dhole,Red Dhole 1,Red Dhole 2,Red Dhole 3,Red Dhole 4,Red Dhole 5,Red Dhole 6",15,Default Map,"12,10",600x600,,Interval,Group,Red Dhole 02,,2,,,1,1,"1, 1",126,192,"126, 192",,,,
61,Red dhole scent,C3: Daniel Anthony,3511b43c-490d-4271-88ef-27f41ff19987,No,10/5/22 17:31,10/5/22 17:31,,10/5/22 17:32,10/5/22,17:32:17,2022,5,17,"Red Dhole,Red Dhole 1,Red Dhole 2,Red Dhole 3,Red Dhole 4,Red Dhole 5,Red Dhole 6",15,Default Map,"12,10",600x600,,Interval,Group,Red Dhole 03,,2,,,1,1,"1, 1",169,118,"169, 118",,,,
61,Red dhole scent,C3: Daniel Anthony,3511b43c-490d-4271-88ef-27f41ff19987,No,10/5/22 17:31,10/5/22 17:31,,10/5/22 17:32,10/5/22,17:32:17,2022,5,17,"Red Dhole,Red Dhole 1,Red Dhole 2,Red Dhole 3,Red Dhole 4,Red Dhole 5,Red Dhole 6",15,Default Map,"12,10",600x600,,Interval,Group,Red Dhole 04,,2,,,1,1,"1, 1",168,198,"168, 198",,,,
62,Red dhole scent,C3: Daniel Anthony,3511b43c-490d-4271-88ef-27f41ff19987,No,11/5/22 13:33,11/5/22 13:33,,11/5/22 13:34,11/5/22,13:34:04,2022,5,13,"Red Dhole,Red Dhole 1,Red Dhole 2,Red Dhole 3,Red Dhole 4,Red Dhole 5,Red Dhole 6",15,Default Map,"12,10",600x600,,Interval,Group,Red Dhole,3,1,Red Dhole,Locomotion,,,,,,,,,,
62,Red dhole scent,C3: Daniel Anthony,3511b43c-490d-4271-88ef-27f41ff19987,No,11/5/22 13:33,11/5/22 13:33,,11/5/22 13:34,11/5/22,13:34:04,2022,5,13,"Red Dhole,Red Dhole 1,Red Dhole 2,Red Dhole 3,Red Dhole 4,Red Dhole 5,Red Dhole 6",15,Default Map,"12,10",600x600,,Interval,Group,Red Dhole 01,,1,,,1,1,"1, 1",101,149,"101, 149",,,,
62,Red dhole scent,C3: Daniel Anthony,3511b43c-490d-4271-88ef-27f41ff19987,No,11/5/22 13:33,11/5/22 13:33,,11/5/22 13:34,11/5/22,13:34:34,2022,5,13,"Red Dhole,Red Dhole 1,Red Dhole 2,Red Dhole 3,Red Dhole 4,Red Dhole 5,Red Dhole 6",15,Default Map,"12,10",600x600,,Interval,Group,Red Dhole,2,2,Red Dhole,Resting/Vigilance,,,,,,,,,,
