"SessionID","Configuration Name","Observer","DeviceID","Edited","Session Start Time","Recorded Start Time","Session End Time","DateTime","Date","Time","Year","Month","Hour","Project Animals","Duration","Habitat Map","Grid Size","Image Size","Notes","Channel Type","Subject Type","Focal Name","Group Count","Frame Number","Interval Channel 1 Name","Interval Channel 1 Value","Space Use Grid X","Space Use Grid Y","Space Use Grid XY","Space Use Coordinate X","Space Use Coordinate Y","Space Use Coordinate XY","Question: Scent used and location sprayed?_35"
"69","Malayan Tiger Scent","C3: Daniel Anthony","3511b43c-490d-4271-88ef-27f41ff19987","No","2022-05-12 17:32:35","2022-05-12 17:32:35","2022-05-12 17:34:16","2022-05-12 17:33:05","2022-05-12","17:33:05","2022","5","17","Malayan TIger,Sali,Arhaa,Bongsu","15.00","Default Map","12,10","600x600","","Interval","Group","Malayan TIger 01","","1","","","1","1","1, 1","369","158","369, 158",""
"69","Malayan Tiger Scent","C3: Daniel Anthony","3511b43c-490d-4271-88ef-27f41ff19987","No","2022-05-12 17:32:35","2022-05-12 17:32:35","2022-05-12 17:34:16","2022-05-12 17:33:05","2022-05-12","17:33:05","2022","5","17","Malayan TIger,Sali,Arhaa,Bongsu","15.00","Default Map","12,10","600x600","","Interval","Group","Malayan TIger 02","","1","","","1","1","1, 1","196","256","196, 256",""
"69","Malayan Tiger Scent","C3: Daniel Anthony","3511b43c-490d-4271-88ef-27f41ff19987","No","2022-05-12 17:32:35","2022-05-12 17:32:35","2022-05-12 17:34:16","2022-05-12 17:33:35","2022-05-12","17:33:35","2022","5","17","Malayan TIger,Sali,Arhaa,Bongsu","15.00","Default Map","12,10","600x600","","Interval","Group","Malayan TIger 01","","2","","","1","1","1, 1","389","144","389, 144",""
"69","Malayan Tiger Scent","C3: Daniel Anthony","3511b43c-490d-4271-88ef-27f41ff19987","No","2022-05-12 17:32:35","2022-05-12 17:32:35","2022-05-12 17:34:16","2022-05-12 17:33:35","2022-05-12","17:33:35","2022","5","17","Malayan TIger,Sali,Arhaa,Bongsu","15.00","Default Map","12,10","600x600","","Interval","Group","Malayan TIger 02","","2","","","1","1","1, 1","392","293","392, 293",""
"70","Malayan Tiger Scent","C3: Daniel Anthony","3511b43c-490d-4271-88ef-27f41ff19987","No","2022-05-14 18:06:18","2022-05-14 18:06:18","2022-05-14 18:08:07","2022-05-14 18:06:48","2022-05-14","18:06:48","2022","5","18","Malayan TIger,Sali,Arhaa,Bongsu","15.00","Default Map","12,10","600x600","","Interval","Group","Malayan TIger 01","","1","","","1","1","1, 1","120","163","120, 163",""
"70","Malayan Tiger Scent","C3: Daniel Anthony","3511b43c-490d-4271-88ef-27f41ff19987","No","2022-05-14 18:06:18","2022-05-14 18:06:18","2022-05-14 18:08:07","2022-05-14 18:06:48","2022-05-14","18:06:48","2022","5","18","Malayan TIger,Sali,Arhaa,Bongsu","15.00","Default Map","12,10","600x600","","Interval","Group","Malayan TIger 02","","1","","","2","1","2, 1","237","157","237, 157",""
"70","Malayan Tiger Scent","C3: Daniel Anthony","3511b43c-490d-4271-88ef-27f41ff19987","No","2022-05-14 18:06:18","2022-05-14 18:06:18","2022-05-14 18:08:07","2022-05-14 18:07:18","2022-05-14","18:07:18","2022","5","18","Malayan TIger,Sali,Arhaa,Bongsu","15.00","Default Map","12,10","600x600","","Interval","Group","Malayan TIger 01","","2","","","2","2","2, 2","269","254","269, 254",""
"70","Malayan Tiger Scent","C3: Daniel Anthony","3511b43c-490d-4271-88ef-27f41ff19987","No","2022-05-14 18:06:18","2022-05-14 18:06:18","2022-05-14 18:08:07","2022-05-14 18:07:18","2022-05-14","18:07:18","2022","5","18","Malayan TIger,Sali,Arhaa,Bongsu","15.00","Default Map","12,10","600x600","","Interval","Group","Malayan TIger 02","","2","","","2","1","2, 1","199","137","199, 137",""
"75","Malayan Tiger Scent","C3: Daniel Anthony","3511b43c-490d-4271-88ef-27f41ff19987","No","2022-05-18 14:17:45","2022-05-18 14:17:45","2022-05-18 14:20:01","2022-05-18 14:18:15","2022-05-18","14:18:15","2022","5","14","Malayan TIger,Sali,Arhaa,Bongsu","15.00","Default Map","12,10","600x600","","Interval","Individual","Arhaa","","1","Malayan Tigers","Sleeping","1","1","1, 1","139","52","139, 52",""
"75","Malayan Tiger Scent","C3: Daniel Anthony","3511b43c-490d-4271-88ef-27f41ff19987","No","2022-05-18 14:17:45","2022-05-18 14:17:45","2022-05-18 14:20:01","2022-05-18 14:18:15","2022-05-18","14:18:15","2022","5","14","Malayan TIger,Sali,Arhaa,Bongsu","15.00","Default Map","12,10","600x600","","Interval","Individual","Sali","","1","Malayan Tigers","Locomotion","1","1","1, 1","117","4","117, 4",""
"75","Malayan Tiger Scent","C3: Daniel Anthony","3511b43c-490d-4271-88ef-27f41ff19987","No","2022-05-18 14:17:45","2022-05-18 14:17:45","2022-05-18 14:20:01","2022-05-18 14:18:45","2022-05-18","14:18:45","2022","5","14","Malayan TIger,Sali,Arhaa,Bongsu","15.00","Default Map","12,10","600x600","","Interval","Individual","Arhaa","","2","Malayan Tigers","Sleeping","1","1","1, 1","105","179","105, 179",""
"75","Malayan Tiger Scent","C3: Daniel Anthony","3511b43c-490d-4271-88ef-27f41ff19987","No","2022-05-18 14:17:45","2022-05-18 14:17:45","2022-05-18 14:20:01","2022-05-18 14:18:45","2022-05-18","14:18:45","2022","5","14","Malayan TIger,Sali,Arhaa,Bongsu","15.00","Default Map","12,10","600x600","","Interval","Individual","Sali","","2","Malayan Tigers","Locomotion","1","1","1, 1","24","108","24, 108",""
"75","Malayan Tiger Scent","C3: Daniel Anthony","3511b43c-490d-4271-88ef-27f41ff19987","No","2022-05-18 14:17:45","2022-05-18 14:17:45","2022-05-18 14:20:01","2022-05-18 14:19:15","2022-05-18","14:19:15","2022","5","14","Malayan TIger,Sali,Arhaa,Bongsu","15.00","Default Map","12,10","600x600","","Interval","Individual","Arhaa","","3","Malayan Tigers","Sleeping","1","2","1, 2","93","389","93, 389",""
"75","Malayan Tiger Scent","C3: Daniel Anthony","3511b43c-490d-4271-88ef-27f41ff19987","No","2022-05-18 14:17:45","2022-05-18 14:17:45","2022-05-18 14:20:01","2022-05-18 14:19:15","2022-05-18","14:19:15","2022","5","14","Malayan TIger,Sali,Arhaa,Bongsu","15.00","Default Map","12,10","600x600","","Interval","Individual","Sali","","3","Malayan Tigers","Locomotion","1","2","1, 2","89","211","89, 211",""
