ID,Chew,Defecate,Feed,Groom,Interact,Licking,Locomotion,OOS,Pawing,Rubbing,Stationary,Scentmarking,Sleep,Smelling,Stretching,Tailwagging,Vocalising,Total,Ex
,,,,,,,,,,,,,120,,,,,120,IW
,,,,,,,,,,,,,120,,,,,120,IW
,,,,,,,,20,,,1,,99,,,,,120,IW
,,,,,,,1,3,,,3,,112,1,,,,120,IW
,,,,,,,,,,,,,120,,,,,120,IW
,,1,,,,,,,,,,,117,2,,,,120,IW
,,,,2,,,3,9,,,2,,101,3,,,,120,IW
,,,,,,,5,9,,,4,,99,3,,,,120,IW
,,,,,,,6,20,,,2,,92,,,,,120,IW
,,1,,,,,16,21,,,1,,80,1,,,,120,IW
,,,,,,,2,25,,,1,,90,2,,,,120,IW
,,,,,,,1,,,,3,,115,1,,,,120,IW
,,,,,2,,10,7,,,1,,97,3,,,,120,IW
,,,,,,,12,,,,1,,107,,,,,120,IW
,,,,,,,7,4,,,5,,103,1,,,,120,IW
,,,,,,,22,5,,,3,,90,,,,,120,IW
,,,,,,,2,,,,1,,117,,,,,120,IW
,,1,,,,,8,2,,,1,,108,,,,,120,IW
,,,,,2,,3,26,,,,,87,2,,,,120,RD
,,,,,5,,11,35,,,,,69,,,,,120,RD
,,,,,,,5,17,,,,,98,,,,,120,RD
,,1,,1,2,,34,38,,,,,44,,,,,120,RD
,,2,,,1,,3,32,,,,,82,,,,,120,RD
,,,,,,,,22,,,,,98,,,,,120,RD
,,,,,1,,28,31,,,,,60,,,,,120,RD
,,,,,,,39,33,,,,,48,,,,,120,RD
,,,,4,,,8,14,,,,,94,,,,,120,RD
,,,,,,,12,38,,,,,68,2,,,,120,RD
,,,,1,4,,13,15,,,,,87,,,,,120,RD
,,1,,,4,,9,25,,,,,81,,,,,120,RD
,,,,1,,,34,29,,,,,56,,,,,120,RD
,,,,,,,66,35,,,,,18,1,,,,120,RD
,,,,,,,6,36,,,,,78,,,,,120,RD
,,2,,,,,49,32,,,,,37,,,,,120,RD
,,,,3,1,,19,17,,3,,,77,,,,,120,RD
,,,,,4,,2,,,,,,114,,,,,120,RD
